resource_id,resource_type,home_location_id,capacity
R001,GENERAL,L001,500
R002,GENERAL,L001,600
R003,GENERAL,L001,700
R004,GENERAL,L001,800
R005,GENERAL,L001,900
R006,GENERAL,L001,1000
R007,GENERAL,L001,750
R008,GENERAL,L001,650
R009,GENERAL,L001,850
R010,GENERAL,L001,950
R011,HAZARDOUS,L001,300
R012,HAZARDOUS,L001,350
R013,HAZARDOUS,L001,400
R014,HAZARDOUS,L001,450
R015,HAZARDOUS,L001,500
R016,HAZARDOUS,L001,550
R017,HAZARDOUS,L001,600
R018,HAZARDOUS,L001,650
R019,INDUSTRIAL,L001,1000
R020,INDUSTRIAL,L001,1100
R021,INDUSTRIAL,L001,1200
R022,INDUSTRIAL,L001,1300
R023,INDUSTRIAL,L001,1400
R024,INDUSTRIAL,L001,1500
R025,INDUSTRIAL,L001,1600
R026,INDUSTRIAL,L001,1250
R027,GENERAL,L001,700
R028,GENERAL,L001,800
R029,HAZARDOUS,L001,450
R030,INDUSTRIAL,L001,1300
