road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L001,L002,0.6,4,1.0
R002,L002,L003,1.2,8,1.3
R003,L001,L003,1.5,10,1.1
R004,L003,L004,0.8,5,1.0
R005,L004,L005,0.7,4,1.1
R006,L005,L006,0.9,5,1.0
R007,L006,L007,0.6,4,1.2
R008,L007,L008,0.8,5,1.0
R009,L008,L009,0.7,4,1.1
R010,L009,L010,0.9,6,1.0
R011,L010,L011,1.2,7,1.3
R012,L011,L012,1.0,6,1.1
R013,L012,L013,0.9,5,1.0
R014,L013,L014,0.8,5,1.2
R015,L014,L015,0.7,4,1.0
R016,L015,L016,1.1,7,1.1
R017,L016,L017,0.8,5,1.2
R018,L017,L018,0.9,6,1.0
R019,L018,L019,1.0,6,1.1
R020,L019,L020,1.3,8,1.3
R021,L020,L021,1.5,9,1.2
R022,L021,L022,0.8,5,1.0
R023,L022,L023,2.0,12,1.3
R024,L023,L024,1.8,10,1.1
R025,L024,L025,2.1,13,1.2
R026,L025,L026,1.0,6,1.0
R027,L026,L027,0.9,6,1.1
R028,L027,L028,1.7,10,1.3
R029,L028,L029,1.4,8,1.2
R030,L029,L030,2.2,13,1.1
R031,L030,L031,1.0,6,1.0
R032,L031,L032,0.8,5,1.1
R033,L032,L033,3.5,20,1.3
R034,L033,L034,0.5,3,1.0
R035,L034,L035,0.6,4,1.1
R036,L035,L036,1.0,6,1.0
R037,L036,L037,1.1,7,1.2
R038,L037,L038,0.8,5,1.0
R039,L038,L039,1.4,8,1.1
R040,L039,L040,1.0,6,1.3
R041,L040,L041,2.0,12,1.2
R042,L041,L042,5.0,25,1.3
R043,L042,L043,0.7,5,1.0
R044,L043,L044,3.0,17,1.2
R045,L044,L045,0.9,6,1.1
R046,L045,L046,2.8,16,1.3
R047,L046,L047,1.5,9,1.1
R048,L047,L048,1.0,6,1.0
R049,L048,L049,4.5,24,1.3
R050,L049,L050,1.0,6,1.2
R051,L001,L004,1.2,7,1.1
R052,L002,L005,1.0,6,1.0
R053,L003,L006,1.3,8,1.2
R054,L004,L007,1.4,9,1.1
R055,L005,L008,1.1,7,1.0
R056,L006,L009,1.2,8,1.2
R057,L007,L010,1.3,8,1.1
R058,L008,L011,1.5,9,1.3
R059,L009,L012,1.0,6,1.0
R060,L010,L013,1.2,7,1.2
R061,L011,L014,1.1,7,1.1
R062,L012,L015,1.0,6,1.0
R063,L013,L016,1.3,8,1.2
R064,L014,L017,1.0,6,1.1
R065,L015,L018,1.2,7,1.0
R066,L016,L019,1.5,9,1.3
R067,L017,L020,1.7,10,1.2
R068,L018,L021,1.4,9,1.1
R069,L019,L022,1.2,7,1.0
R070,L020,L023,2.5,14,1.2
R071,L021,L024,2.2,13,1.1
R072,L022,L025,2.0,12,1.3
R073,L023,L026,2.4,14,1.2
R074,L024,L027,2.0,12,1.1
R075,L025,L028,1.8,11,1.3
R076,L026,L029,1.5,9,1.0
R077,L027,L030,1.6,10,1.1
R078,L028,L031,1.2,7,1.0
R079,L029,L032,1.0,6,1.2
R080,L030,L033,2.8,16,1.3
R081,L031,L034,2.5,14,1.1
R082,L032,L035,2.0,12,1.0
R083,L033,L036,1.4,8,1.2
R084,L034,L037,1.5,9,1.1
R085,L035,L038,1.4,8,1.0
R086,L036,L039,1.0,6,1.2
R087,L037,L040,1.6,10,1.1
R088,L038,L041,2.2,13,1.3
R089,L039,L042,4.5,23,1.2
R090,L040,L043,5.0,25,1.3
R091,L041,L044,5.8,29,1.2
R092,L042,L045,3.0,17,1.1
R093,L043,L046,2.5,14,1.3
R094,L044,L047,3.0,17,1.2
R095,L045,L048,2.5,14,1.1
R096,L046,L049,4.0,21,1.3
R097,L047,L050,4.2,22,1.2
R098,L050,L001,8.5,42,1.3
R099,L011,L030,6.0,30,1.1
R100,L024,L040,5.5,28,1.2
