request_id,source_location_id,destination_location_id,category,urgency,priority,time_submitted,deadline
Q001,L002,L003,General,2,LOW,HIGH,2026-07-01T08:15
Q002,L001,L002,Hazardous,2,LOW,LOW,2026-07-01T08:20
Q003,L010,L001,Hazardous,1,HIGH,LOW,2026-07-01T08:30
Q004,L020,L001,Industrial,3,MEDIUM,MEDIUM,2026-07-01T08:35
Q005,L015,L007,General,3,MEDIUM,MEDIUM,2026-07-01T08:40
Q006,L025,L012,General,1,LOW,LOW,2026-07-01T08:45
Q007,L006,L023,Hazardous,4,HIGH,HIGH,2026-07-01T08:50
Q008,L030,L011,Hazardous,2,HIGH,LOW,2026-07-01T08:55
Q009,L017,L024,Industrial,4,MEDIUM,HIGH,2026-07-01T09:00
Q010,L021,L005,General,5,HIGH,HIGH,2026-07-01T09:05
Q011,L012,L039,General,2,LOW,LOW,2026-07-01T09:10
Q012,L028,L001,Hazardous,3,HIGH,MEDIUM,2026-07-01T09:15
Q013,L035,L020,Industrial,2,MEDIUM,LOW,2026-07-01T09:20
Q014,L044,L006,General,4,HIGH,HIGH,2026-07-01T09:25
Q015,L009,L047,General,1,LOW,LOW,2026-07-01T09:30
Q016,L041,L030,Hazardous,5,HIGH,HIGH,2026-07-01T09:35
Q017,L018,L050,Hazardous,4,HIGH,HIGH,2026-07-01T09:40
Q018,L032,L014,Industrial,3,MEDIUM,MEDIUM,2026-07-01T09:45
Q019,L023,L002,General,2,LOW,LOW,2026-07-01T09:50
Q020,L037,L019,General,4,HIGH,HIGH,2026-07-01T09:55
Q021,L004,L029,Hazardous,1,HIGH,LOW,2026-07-01T10:00
Q022,L026,L045,Industrial,5,MEDIUM,HIGH,2026-07-01T10:05
Q023,L050,L016,General,3,MEDIUM,MEDIUM,2026-07-01T10:10
Q024,L013,L038,General,2,LOW,LOW,2026-07-01T10:15
Q025,L029,L003,Hazardous,4,HIGH,HIGH,2026-07-01T10:20
Q026,L043,L022,Hazardous,2,HIGH,LOW,2026-07-01T10:25
Q027,L016,L040,Industrial,1,MEDIUM,LOW,2026-07-01T10:30
Q028,L031,L008,General,5,HIGH,HIGH,2026-07-01T10:35
Q029,L022,L033,General,3,MEDIUM,MEDIUM,2026-07-01T10:40
Q030,L045,L010,Hazardous,4,HIGH,HIGH,2026-07-01T10:45
Q031,L008,L034,Industrial,2,MEDIUM,LOW,2026-07-01T10:50
Q032,L019,L027,General,1,LOW,LOW,2026-07-01T10:55
Q033,L034,L046,General,5,HIGH,HIGH,2026-07-01T11:00
Q034,L047,L015,Hazardous,3,MEDIUM,MEDIUM,2026-07-01T11:05
Q035,L011,L041,Hazardous,1,HIGH,LOW,2026-07-01T11:10
Q036,L040,L025,Industrial,4,MEDIUM,HIGH,2026-07-01T11:15
Q037,L003,L018,General,2,LOW,LOW,2026-07-01T11:20
Q038,L027,L043,General,4,HIGH,HIGH,2026-07-01T11:25
Q039,L014,L036,Hazardous,3,HIGH,MEDIUM,2026-07-01T11:30
Q040,L036,L048,Industrial,5,MEDIUM,HIGH,2026-07-01T11:35
Q041,L048,L021,General,3,MEDIUM,MEDIUM,2026-07-01T11:40
Q042,L007,L044,General,1,LOW,LOW,2026-07-01T11:45
Q043,L020,L032,Hazardous,2,LOW,LOW,2026-07-01T11:50
Q044,L038,L017,Hazardous,5,HIGH,HIGH,2026-07-01T11:55
Q045,L024,L050,Industrial,3,MEDIUM,MEDIUM,2026-07-01T12:00
Q046,L049,L013,General,4,HIGH,HIGH,2026-07-01T12:05
Q047,L005,L042,General,2,LOW,LOW,2026-07-01T12:10
Q048,L042,L009,Hazardous,1,HIGH,LOW,2026-07-01T12:15
Q049,L010,L035,Industrial,4,MEDIUM,HIGH,2026-07-01T12:20
Q050,L015,L023,General,5,HIGH,HIGH,2026-07-01T12:25
Q051,L025,L037,General,3,MEDIUM,MEDIUM,2026-07-01T12:30
Q052,L033,L004,Hazardous,2,HIGH,LOW,2026-07-01T12:35
Q053,L046,L028,Industrial,1,MEDIUM,LOW,2026-07-01T12:40
Q054,L017,L049,General,4,HIGH,HIGH,2026-07-01T12:45
Q055,L039,L011,General,1,LOW,LOW,2026-07-01T12:50
Q056,L001,L026,Hazardous,3,MEDIUM,MEDIUM,2026-07-01T12:55
Q057,L012,L031,Hazardous,4,HIGH,HIGH,2026-07-01T13:00
Q058,L028,L045,Industrial,5,MEDIUM,HIGH,2026-07-01T13:05
Q059,L021,L006,General,2,LOW,LOW,2026-07-01T13:10
Q060,L044,L019,General,4,HIGH,HIGH,2026-07-01T13:15
